bond_type,n,mae_abs,mae_del,improvement
C-H(s),321,0.0009996837322293862,0.0009821657212850676,1.7523553079384246
C-C(s),77,0.0011487219774750127,0.0011472609630412951,0.12718607829973472
C-C(ar),48,0.0013154938659147807,0.0013631162366430545,-3.620113476938003
C-O(s),26,0.0014648849477344546,0.0013539181933883361,7.575117385002573
C-N(s),12,0.0009974524406024161,0.0017552954186639824,-75.97785590698074
C-O(d),11,0.0014227491502251616,0.0014143131154584563,0.5929390128520007
H-N(s),10,0.0002534768400134668,0.0006145708206108047,-142.45639979500834
H-O(s),10,0.000405780530105404,0.0007332307645529946,-80.69638884904933
C-N(ar),4,0.0015657897660607545,0.0011668962195685029,25.475549472761983
C-C(d),3,0.000524597264536982,0.0003002578376196663,42.764124421297026
C-O(ar),2,0.0012620544698377367,0.0016430746109442618,-30.190467227259465
C-S(ar),2,2.2430291430897142e-05,8.908363290571764e-05,-297.1577149595446
C-Cl(s),1,0.0009237290128563114,0.0009705558832080463,-5.069329825090052
C-C(t),1,0.001382190207838141,0.0009027164991357584,34.68941582593895
C-N(t),1,0.0010528936935345623,4.3012232578965026e-05,95.91485514225344
